ID,year,category,film,nominee,won
116,1931,Cinematography,Anna Christie,(William Daniels),0
117,1931,Cinematography,Hell's Angels,"(Gaetano Gaudio), (Harry Perry)",0
118,1931,Cinematography,The Love Parade,(Victor Milner),0
119,1931,Directing,All Quiet on the Western Front,Lewis Milestone,1
120,1931,Directing,Anna Christie,Clarence Brown,0
121,1931,Directing,Hallelujah,King Vidor,0
122,1931,Directing,Romance,Clarence Brown,0
123,1931,Directing,The Divorcee,Robert Leonard,0
124,1931,Directing,The Love Parade,Ernst Lubitsch,0
125,1931,Sound,The Big House,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",1
126,1931,Sound,Raffles,"(United Artists Studio Sound Department, Oscar Lagerstrom, Sound Director)",0
127,1931,Sound,Song of the Flame,"(First National Studio Sound Department, George Groves, Sound Director)",0
128,1931,Sound,The Case of Sergeant Grischa,"(RKO Radio Studio Sound Department, John Tribby, Sound Director)",0
129,1931,Sound,The Love Parade,"(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)",0
130,1931,Writing,The Big House,Frances Marion,1
131,1931,Writing,All Quiet on the Western Front,"(George Abbott), (Maxwell Anderson), (Del Andrews)",0
132,1931,Writing,Disraeli,(Julian Josephson),0
133,1931,Writing,Street of Chance,(Howard Estabrook),0
134,1931,Writing,The Divorcee,(John Meehan),0
135,1932,Actor in a Leading Role,A Free Soul,Lionel Barrymore,1
136,1932,Actor in a Leading Role,Cimarron,Richard Dix,0
137,1932,Actor in a Leading Role,Skippy,Jackie Cooper,0
138,1932,Actor in a Leading Role,The Front Page,Adolphe Menjou,0
139,1932,Actor in a Leading Role,The Royal Family of Broadway,Fredric March,0
140,1932,Actress in a Leading Role,Min and Bill,Marie Dressler,1
141,1932,Actress in a Leading Role,A Free Soul,Norma Shearer,0
142,1932,Actress in a Leading Role,Cimarron,Irene Dunne,0
143,1932,Actress in a Leading Role,Holiday,Ann Harding,0
144,1932,Actress in a Leading Role,Morocco,Marlene Dietrich,0
145,1932,Art Direction,Cimarron,Cimarron,1
146,1932,Art Direction,Just Imagine,"Stephen Goosson, Ralph Hammeras",0
